game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21800046,0,117.03,0.567,23.76,0.825,30.89,0.36,24.21,12.88,11.08,35.53,7.14,4.96,13.31,8.71,38.75,21.22,0.503,114.25,107.76,19.39,117.88,0.557,24.59,0.765,37.3,0.343,28.82,14.26,6.92,27.38,8.78,4.65,16.25,8.35,30.97,23.06,0.543,109.73,112.25,20.15
21800047,1,121.49,0.612,21.8,0.816,36.37,0.388,31.66,14.34,9.06,35.56,7.92,6.77,14.4,8.76,40.36,25.71,0.499,115.9,106.86,20.54,110.36,0.554,21.82,0.791,30.5,0.344,25.63,15.25,7.73,30.29,9.21,4.13,15.51,9.08,30.15,22.28,0.557,105.74,113.77,20.97
21800048,0,120.33,0.564,23.8,0.703,34.2,0.331,26.47,15.49,10.65,39.08,7.82,6.09,11.92,8.65,42.78,22.85,0.516,106.76,107.85,20.03,116.19,0.572,20.87,0.838,28.3,0.398,23.44,11.68,7.62,34.63,5.61,3.63,10.8,7.21,35.05,23.08,0.536,111.35,109.78,17.21
21800049,1,116.25,0.547,23.84,0.748,38.83,0.354,23.61,13.51,10.44,34.17,6.81,3.52,11.24,8.46,32.9,20.79,0.531,108.41,108.28,19.41,114.84,0.572,26.13,0.798,37.59,0.372,21.2,12.84,9.4,35.07,7.45,5.39,12.85,7.63,41.51,22.98,0.508,108.98,106.58,21.66
21800050,1,124.18,0.568,26.89,0.77,32.43,0.352,30.13,14.96,11.09,36.83,7.85,5.86,14.39,8.87,38.26,26.62,0.517,111.34,110.67,19.35,120.71,0.577,28.84,0.818,29.28,0.388,25.23,13.22,7.87,32.88,6.66,4.15,12.18,8.13,37.05,22.09,0.516,111.07,109.78,20.21
21800051,1,114.18,0.566,21.45,0.769,29.75,0.353,28.95,12.92,12.34,33.56,8.53,4.38,15.28,9.23,32.26,25.49,0.518,111.86,106.67,20.18,115.21,0.56,22.56,0.726,30.44,0.386,24.25,12.25,11.28,34.08,8.0,4.85,14.07,8.68,36.25,25.49,0.532,109.14,109.46,19.89
21800052,1,113.07,0.549,23.63,0.765,37.97,0.346,28.33,17.96,8.8,32.67,9.04,4.94,15.84,9.98,36.43,22.42,0.547,106.39,111.66,22.9,105.47,0.566,26.31,0.726,31.0,0.343,25.51,15.56,12.24,37.41,7.21,4.8,12.69,8.49,40.85,25.05,0.515,106.8,109.11,20.13
21800053,0,111.32,0.545,23.0,0.816,30.49,0.352,21.16,12.91,12.26,36.35,6.73,2.06,11.16,8.04,32.57,23.58,0.542,106.98,115.09,18.99,114.21,0.551,24.42,0.737,36.92,0.366,26.83,14.79,8.6,30.16,6.54,4.24,11.86,7.34,43.17,22.23,0.514,108.12,108.81,20.07
21800054,1,109.46,0.544,24.2,0.719,30.99,0.342,25.92,14.29,11.87,35.03,7.26,5.76,13.47,8.92,38.55,23.95,0.51,106.13,106.35,20.16,103.42,0.543,23.38,0.767,27.09,0.333,18.06,13.36,12.99,36.74,7.05,5.44,11.63,8.56,41.02,24.87,0.54,103.72,111.64,22.89
21800055,1,124.75,0.592,25.76,0.805,31.21,0.367,25.54,13.86,11.35,39.07,8.4,6.0,15.25,9.18,45.03,24.98,0.507,113.06,106.09,20.3,117.67,0.564,28.05,0.826,24.53,0.347,31.58,13.29,11.24,30.89,8.97,4.77,15.37,8.59,36.2,24.7,0.538,110.56,110.48,18.29
21800056,1,106.11,0.546,20.66,0.792,28.1,0.347,21.71,14.63,9.17,36.0,7.55,3.83,13.24,8.1,33.26,23.89,0.542,103.57,111.2,20.79,109.36,0.557,22.19,0.811,30.99,0.356,23.94,11.27,9.33,33.44,7.57,5.01,13.45,8.12,37.6,25.84,0.524,109.92,110.23,17.96
21800057,0,119.7,0.571,25.56,0.784,48.63,0.352,17.75,12.18,10.81,34.53,7.77,5.9,13.71,8.59,35.97,21.78,0.525,112.7,109.65,20.74,113.08,0.57,27.22,0.74,31.54,0.354,27.0,14.94,10.84,37.73,8.3,5.98,15.26,8.48,43.68,21.39,0.506,108.71,104.32,20.03
21800058,0,118.03,0.575,21.75,0.819,26.82,0.394,23.71,11.92,9.28,35.23,5.56,4.41,10.81,7.1,40.62,22.62,0.526,111.78,109.34,17.62,113.44,0.556,23.08,0.751,25.14,0.371,28.71,14.52,9.53,36.08,9.53,4.88,15.94,9.59,35.69,26.86,0.527,108.51,104.95,18.42
21800059,1,128.28,0.593,26.2,0.786,38.35,0.351,27.28,14.53,9.17,40.26,7.74,6.07,13.41,8.67,45.56,26.55,0.503,113.56,102.73,19.65,118.45,0.574,29.64,0.762,34.56,0.372,24.4,14.44,10.7,37.77,7.38,5.67,12.85,8.09,40.39,23.18,0.509,109.41,106.75,21.51
21800060,0,113.84,0.557,23.06,0.802,31.99,0.342,26.15,15.31,7.33,29.34,8.29,3.83,13.39,8.57,28.54,21.16,0.559,105.37,114.0,19.88,120.33,0.564,23.8,0.703,34.2,0.331,26.47,15.49,10.65,39.08,7.82,6.09,11.92,8.65,42.78,22.85,0.516,106.76,107.85,20.03
21800061,1,120.43,0.563,24.89,0.712,26.42,0.394,25.13,13.52,12.78,36.15,7.79,5.11,13.54,8.48,39.89,26.2,0.53,108.77,109.3,21.7,100.04,0.544,22.86,0.761,26.81,0.351,25.42,13.0,6.62,28.9,8.59,5.34,14.69,9.24,36.26,25.66,0.518,104.1,106.25,22.75
21800062,1,121.49,0.612,21.8,0.816,36.37,0.388,31.66,14.34,9.06,35.56,7.92,6.77,14.4,8.76,40.36,25.71,0.499,115.9,106.86,20.54,117.88,0.557,24.59,0.765,37.3,0.343,28.82,14.26,6.92,27.38,8.78,4.65,16.25,8.35,30.97,23.06,0.543,109.73,112.25,20.15
21800063,1,112.61,0.548,23.47,0.745,36.33,0.357,23.36,12.75,10.49,32.95,6.32,3.84,10.87,8.2,33.94,21.77,0.527,109.35,108.47,20.08,103.42,0.533,18.94,0.787,27.9,0.345,21.51,12.32,10.98,28.8,7.73,2.24,12.59,8.36,30.68,23.99,0.549,106.01,114.18,18.71
21800064,0,113.75,0.55,19.48,0.792,34.46,0.356,25.11,13.29,10.14,36.38,6.42,5.97,10.94,7.83,38.52,18.92,0.525,106.98,107.06,17.57,117.03,0.567,23.76,0.825,30.89,0.36,24.21,12.88,11.08,35.53,7.14,4.96,13.31,8.71,38.75,21.22,0.503,114.25,107.76,19.39
21800065,0,115.93,0.545,25.57,0.719,35.83,0.348,24.94,14.06,11.41,34.56,8.98,4.23,14.48,9.32,39.06,24.48,0.529,110.01,105.43,20.5,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87
21800066,1,118.58,0.562,23.87,0.677,34.66,0.33,25.97,15.04,10.89,36.96,8.02,5.44,12.54,8.95,38.48,23.53,0.52,107.02,107.71,20.61,114.18,0.566,21.45,0.769,29.75,0.353,28.95,12.92,12.34,33.56,8.53,4.38,15.28,9.23,32.26,25.49,0.518,111.86,106.67,20.18
21800067,1,109.36,0.557,22.19,0.811,30.99,0.356,23.94,11.27,9.33,33.44,7.57,5.01,13.45,8.12,37.6,25.84,0.524,109.92,110.23,17.96,99.85,0.545,20.95,0.778,25.82,0.333,22.95,14.2,7.45,33.23,8.4,3.96,14.53,8.76,32.63,25.2,0.536,102.41,110.72,20.04
21800068,0,103.42,0.543,23.38,0.767,27.09,0.333,18.06,13.36,12.99,36.74,7.05,5.44,11.63,8.56,41.02,24.87,0.54,103.72,111.64,22.89,121.49,0.612,21.8,0.816,36.37,0.388,31.66,14.34,9.06,35.56,7.92,6.77,14.4,8.76,40.36,25.71,0.499,115.9,106.86,20.54
21800069,1,128.54,0.594,26.14,0.814,33.95,0.373,24.44,14.26,10.3,39.26,7.92,6.0,13.91,9.06,44.35,24.55,0.503,113.22,105.92,20.59,106.44,0.574,26.55,0.751,32.38,0.356,21.29,13.45,12.1,38.43,6.27,4.48,11.16,8.21,40.28,24.25,0.518,107.57,109.34,18.82
21800070,0,99.71,0.554,17.86,0.734,41.86,0.349,19.25,9.86,10.78,33.16,8.0,5.57,13.83,8.43,33.57,21.69,0.533,112.0,108.7,20.52,120.71,0.577,28.84,0.818,29.28,0.388,25.23,13.22,7.87,32.88,6.66,4.15,12.18,8.13,37.05,22.09,0.516,111.07,109.78,20.21
21800071,0,119.38,0.565,28.69,0.819,22.93,0.34,31.51,13.21,11.97,30.61,9.37,4.86,15.72,8.91,37.28,25.83,0.529,111.41,110.17,17.84,127.53,0.594,25.95,0.781,37.18,0.355,28.15,14.48,9.5,41.93,7.53,6.02,13.66,8.86,44.03,27.73,0.508,113.18,103.62,19.34
21800072,1,124.18,0.568,26.89,0.77,32.43,0.352,30.13,14.96,11.09,36.83,7.85,5.86,14.39,8.87,38.26,26.62,0.517,111.34,110.67,19.35,114.21,0.551,24.42,0.737,36.92,0.366,26.83,14.79,8.6,30.16,6.54,4.24,11.86,7.34,43.17,22.23,0.514,108.12,108.81,20.07
21800073,1,115.21,0.56,22.56,0.726,30.44,0.386,24.25,12.25,11.28,34.08,8.0,4.85,14.07,8.68,36.25,25.49,0.532,109.14,109.46,19.89,117.88,0.557,24.59,0.765,37.3,0.343,28.82,14.26,6.92,27.38,8.78,4.65,16.25,8.35,30.97,23.06,0.543,109.73,112.25,20.15
21800074,0,111.72,0.542,23.93,0.745,35.94,0.343,23.26,13.35,11.07,33.76,7.04,3.92,11.75,8.73,34.98,21.7,0.526,108.22,108.05,20.75,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87
21800075,0,110.98,0.553,20.89,0.758,32.92,0.345,28.85,14.6,10.0,33.72,7.52,3.71,13.49,8.98,34.03,26.25,0.527,110.37,111.02,19.44,113.08,0.57,27.22,0.74,31.54,0.354,27.0,14.94,10.84,37.73,8.3,5.98,15.26,8.48,43.68,21.39,0.506,108.71,104.32,20.03
21800076,0,113.07,0.549,23.63,0.765,37.97,0.346,28.33,17.96,8.8,32.67,9.04,4.94,15.84,9.98,36.43,22.42,0.547,106.39,111.66,22.9,99.85,0.545,20.95,0.778,25.82,0.333,22.95,14.2,7.45,33.23,8.4,3.96,14.53,8.76,32.63,25.2,0.536,102.41,110.72,20.04
21800077,0,103.42,0.533,18.94,0.787,27.9,0.345,21.51,12.32,10.98,28.8,7.73,2.24,12.59,8.36,30.68,23.99,0.549,106.01,114.18,18.71,111.77,0.569,21.96,0.76,25.03,0.377,27.45,13.39,9.33,35.24,9.0,4.72,14.83,8.96,36.14,26.63,0.527,108.61,104.91,18.33
